OR,OT
"CITY ORDINANCE NO. 671, s-2014","AN ORDINANCE REGULATING THE OPERATION OF AMUSEMENT RIDES, CARNIVALS AND CIRCUSES, AND OUTDOOR CONCERTS, SHOWS, SPORTS AND OTHER AMUSEMENT OR ENTERTAINMENT ACTIVITIES UTILIZING TRANSPORTABLE OR MOVABLE STAGE OR PLATFORM, BLEACHERS, CANOPY AND SIMILAR STRUCTURES; AND PROVIDING PENALTY FOR VIOLATION THEREOF."
"CITY ORDINANCE NO. 661, s-2014",“AN ORDINANCE ENACTING THE TAGUM CITY INVESTMENT INCENTIVE CODE (TCIIC) OF 2014”.
"CITY ORDINANCE NO. 673, s-2014",AN ORDINANCE ESTABLISHING THE CITY EDUCATIONAL SCHOLARSHIP PROGRAM (CESPRO) OF THE CITY OF TAGUM AND PROVIDING FUNDS THEREOF.
"CITY ORDINANCE NO. 672, s-2014",“AN ORDINANCE ESTABLISHING A CITY COOPERATIVE DEVELOPMENT COUNCIL AND PROVIDING FUNDS THEREOF”.
"CITY ORDINANCE NO. 650, s- 2013",AN ORDINANCE RENAMING MANKILAM ELEMENTARY SCHOOL ( M.E.S. ) TO IRENEO F. BERMUDEZ ELEMENTARY SCHOOL.
"CITY ORDINANCE NO. 658, s-2013","AN ORDINANCE DECLARING FEBRUARY 21 – MARCH 7 OF EACH YEAR AS MUSIKAHAN SA TAGUM FESTIVAL AND PROVIDING FUNDS EACH YEAR, THEREFOR"
"CITY ORDINANCE NO. 658, s-2013","AN ORDINANCE DECLARING FEBRUARY 21 – MARCH 7 OF EACH YEAR AS MUSIKAHAN SA TAGUM FESTIVAL AND PROVIDING FUNDS EACH YEAR, THEREFOR."
"CITY ORDINANCE NO. 638, s-2013",AN ORDINANCE REGULATING BACKYARD RAISING IN HIGH DENSITY RESIDENTIAL ZONE/MEDIUM DENSITY RESIDENTIAL ZONE AS CLASSIFIED IN THE TAGUM CITY ZONING ORDINANCE
"CITY ORDINANCE NO.  638, s-2013",AN ORDINANCE REGULATING BACKYARD RAISING IN HIGH DENSITY RESIDENTIAL ZONE/MEDIUM DENSITY RESIDENTIAL ZONE AS CLASSIFIED IN THE TAGUM CITY ZONING ORDINANCE.
"CITY ORDINANCE NO. 660, s-2013","AN ORDINANCE AMENDING MUNICIPAL ORDINANCE NO. 49, S- 1989, “AN ORDINANCE ESTABLISHING THE GUIDELINES IN THE ORGANIZATION OF PUROKS”"
"CITY ORDINANCE NO. 660, s-2013","AN ORDINANCE AMENDING MUNICIPAL ORDINANCE NO. 49, S- 1989, “AN ORDINANCE ESTABLISHING THE GUIDELINES IN THE ORGANIZATION OF PUROKS”."
CITY ORDINANCE NO.644 SERIES 2013,"AN ORDINANCE REGULATING THE ESTABLISHMENT, MAINTENANCE AND OPERATION OF KTV/VIDEOKE AND BARS IN THE CITY OF TAGUM"
CITY ORDINANCE NO.644  SERIES 2013,"AN ORDINANCE REGULATING THE ESTABLISHMENT, MAINTENANCE AND OPERATION OF KTV/VIDEOKE AND BARS IN THE CITY OF TAGUM."
"CITY ORDINANCE NO.  647, s-2013","AN ORDINANCE GRANTING INCENTIVES TO DAY CARE TEACHERS (DCT) AND PROVIDING FOR ITS POLICIES AND GUIDELINES AND FUNDS THEREOF, OTHERWISE KNOWN AS “THE DAY CARE TEACHERS CODE OF THE CITY OF TAGUM”."
"RESOLUTION NO. 106, s-2013","“A RESOLUTION CONGRATULATING THE PUBLIC EMPLOYMENT SERVICES OFFICE (PESO) ITS STAFF AND THE GOOD PEOPLE OF TAGUM CITY WHO IN ONE WAY OR ANOTHER SUPPORTED THE PROGRAM ON EMPLOYMENT FOR CALENDAR YEAR 2011-2012 THAT BROUGHT HONOR AND PRESTIGE TO TAGUM CITY FOR BEING ADJUDGED AS THE NATIONAL WINNER IN THE 2012 NATIONAL BEST PESO AWARD continue reading : RESOLUTION NO. 106, s-2013"
"CITY ORDINANCE NO. 651, s-2013","“AN ORDINANCE CREATING THE ADDITIONAL POSITION OF ONE (1) LOCAL LEGISLATIVE STAFF OFFICER III OR LLSO III IN THE OFFICE OF THE INDIGENOUS PEOPLE’S MANDATORY REPRESENTATIVE (IPMR) UNDER THE SANGGUNIANG PANLUNGSOD LEGISLATIVE DEPARTMENT, AND PROVIDING FOR THE QUALIFICATIONS, DUTIES AND RESPONSIBILITIES, COMPENSATIONS, SALARY GRADE AND APPROPRIATING THE NECESSARY FUNDS FOR THE PURPOSE”"
"CITY ORDINANCE NO.  651, s-2013","“AN ORDINANCE CREATING THE ADDITIONAL POSITION OF ONE (1) LOCAL LEGISLATIVE STAFF OFFICER III OR LLSO III IN THE OFFICE OF THE INDIGENOUS PEOPLE’S MANDATORY REPRESENTATIVE (IPMR) UNDER THE SANGGUNIANG PANLUNGSOD LEGISLATIVE DEPARTMENT, AND PROVIDING FOR THE QUALIFICATIONS, DUTIES AND RESPONSIBILITIES, COMPENSATIONS, SALARY GRADE AND APPROPRIATING THE NECESSARY FUNDS FOR THE PURPOSE”."
"CITY ORDINANCE NO. 643, s-2013","“AN ORDINANCE REVISING THE CREATION OF THE CITY TRICYCLE FRANCHISING AND REGULATORY BOARD (CTFRB) PRESCRIBING ITS FUNCTIONS AND PROCEDURES AND PROVIDING MOTORIZED TRICYCLE FOR HIRE (MTH) GUIDELINES, REGULATIONS AND OPERATIONS, THE COLLECTION OF FEES, CHARGES, ADMINISTRATIVE PROVISIONS AND PROVIDING PENALTIES FOR VIOLATION THEREOF”"
"CITY ORDINANCE NO.  643, s-2013","“AN ORDINANCE REVISING THE CREATION OF THE CITY TRICYCLE FRANCHISING AND REGULATORY BOARD (CTFRB) PRESCRIBING ITS FUNCTIONS AND PROCEDURES AND PROVIDING MOTORIZED TRICYCLE FOR HIRE (MTH) GUIDELINES, REGULATIONS AND OPERATIONS, THE COLLECTION OF FEES, CHARGES, ADMINISTRATIVE PROVISIONS AND PROVIDING PENALTIES FOR VIOLATION THEREOF”."
"CITY ORDINANCE NO. 634, s-2013",AN ORDINANCE ESTABLISHING THE BARANGAY EMPLOYMENT DESK TO BE KNOWN AS “BED” IN EVERY BARANGAY IN THE CITY OF TAGUM
"CITY ORDINANCE NO. 634, s-2013",AN ORDINANCE ESTABLISHING THE BARANGAY EMPLOYMENT DESK TO BE KNOWN AS “BED” IN EVERY BARANGAY IN THE CITY OF TAGUM.
"CITY ORDINANCE NO. 622, s-2013","AN ORDINANCE ESTABLISHING A SATELLITE PUBLIC MARKET TO BE SITUATED AT PUROK PALMERA, BARANGAY VISAYAN VILLAGE, TAGUM CITY."
"CITY ORDINANCE NO. 622, s-2013","AN ORDINANCE ESTABLISHING A SATELLITE PUBLIC MARKET TO BE SITUATED AT PUROK PALMERA, BARANGAY VISAYAN VILLAGE, TAGUM CITY"
"CITY ORDINANCE NO. 623, s-2013","AN ORDINANCE ADOPTING THE GOVERNMENT PROCUREMENT POLICY BOARD (GPPB) RESOLUTION NO. 04-2012, IMPOSING NEW RATES FOR THE SALE OF BIDDING DOCUMENTS AND OTHER FEES, FOR BIDS AND AWARDS COMMITTEE OPERATION AND OTHER DEVELOPMENT CONCERNS IN THE CITY OF TAGUM"
"CITY ORDINANCE NO. 623, s-2013","AN ORDINANCE ADOPTING THE GOVERNMENT PROCUREMENT POLICY BOARD (GPPB) RESOLUTION NO. 04-2012, IMPOSING NEW RATES FOR THE SALE OF BIDDING DOCUMENTS AND OTHER FEES, FOR BIDS AND AWARDS COMMITTEE OPERATION AND OTHER DEVELOPMENT CONCERNS IN THE CITY OF TAGUM."
"CITY ORDINANCE NO. 555, s-2013","AN ORDINANCE AMENDING SECTION 4 AND SECTION 9 OF CITY ORDINANCE NO. 342, SERIES OF 2009 OTHERWISE KNOWN AS, “AN ORDINANCE PROVIDING REVISED REGULATIONS FOR THE OPERATION AND USE OF INTERNET CAFES/COMPUTER GAMES FOR STUDENTS DURING SCHOOL HOURS AND PROVIDING PENALTIES FOR VIOLATION THEREOF”."
"CITY ORDINANCE NO. 555, s-2013","AN ORDINANCE AMENDING SECTION 4 AND SECTION 9 OF CITY ORDINANCE NO. 342, SERIES OF 2009 OTHERWISE KNOWN AS, “AN ORDINANCE PROVIDING REVISED REGULATIONS FOR THE OPERATION AND USE OF INTERNET CAFES/COMPUTER GAMES FOR STUDENTS DURING SCHOOL HOURS AND PROVIDING PENALTIES FOR VIOLATION THEREOF”."
TAX ORDINANCE NO. 13-001,"AN ORDINANCE AMENDING SECTION 224 – ARTICLE B, CHAPTER 7 OF TAX ORDINANCE NO. 07-001, “AN ORDINANCE ADOPTING THE 2007 REVENUE CODE OF THE CITY OF TAGUM”"
TAX ORDINANCE NO. 13-001,"AN ORDINANCE AMENDING SECTION 224 – ARTICLE B, CHAPTER 7 OF TAX ORDINANCE NO. 07-001, “AN ORDINANCE ADOPTING THE 2007 REVENUE CODE OF THE CITY OF TAGUM”."
"CITY ORDINANCE NO. 616, s-2012",AN ORDINANCE APPROVING THE NEW GUIDELINES IN THE GRANTING OF MEDICAL/ SEPARATION/DISABILITY/DEATH BENEFITS TO ALL QUALIFIED BARANGAY HEALTH WORKERS (BHWs) IN TAGUM CITY.
"CITY ORDINANCE NO. 615, s-2012","AN ORDINANCE AMENDING CITY ORDINANCE NO. 01, SERIES OF 2001 “AN ORDINANCE INCREASING THE BHW UNIFORM ALLOWANCE BY FIVE HUNDRED (P500.00) PESOS FOR CALENDAR YEAR 2002”."
"CITY ORDINANCE NO. 614, s-2012","AN ORDINANCE AMENDING CITY ORDINANCE NO. 447, s-2010, “AN ORDINANCE INCREASING THE MONTHLY SUBSISTENCE ALLOWANCE OF ALL QUALIFIED BARANGAY HEALTH WORKERS (BHWs) IN THE CITY OF TAGUM FROM ONE THOUSAND TWO HUNDRED PESOS (P 1,200.00) TO ONE THOUSAND FIVE HUNDRED PESOS (P 1,500.00) AND APPROPRIATING FUNDS THEREOF”."
"CITY ORDINANCE 594, s-2012","AN ORDINANCE AMENDING CITY ORDINANCE NO. 567, s-2012, “AN ORDINANCE RECLASSIFYING PARCEL OF LAND FROM COMMERCIAL TO SPECIAL USE (MEMORIAL PARK), CONTAINING AN AREA OF 142,649 SQUARE METERS INVOLVING PORTION OF LOT NO. 470, COVERED BY TCT NO. 1762 IN THE NAME OF PAZ R. FERIDO, COMPRISING 222,763 SQUARE METERS, LOCATED AT BARANGAY LA FILIPINA, continue reading : CITY ORDINANCE 594, s-2012"
"CITY ORDINANCE NO. 570, s-2012","AN ORDINANCE AUTHORIZING THE CITY MAYOR, HON. REY T. UY FOR THE BORROWING OF THE CITY OF TAGUM WITH THE DEVELOPMENT BANK OF THE PHILIPPINES AND ITS TERMS AND CONDITIONS IN THE AMOUNT OF TWO HUNDRED THIRTY ONE MILLION PESOS (P231,000,000.00) TO FUND THE COMPLETION OF THE NEW CITY HALL BUILDING."
"CITY ORDINANCE NO. 567, s-2012","AN ORDINANCE RECLASSIFYING PARCEL OF LAND FROM COMMERCIAL TO SPECIAL USE (MEMORIAL PARK), CONTAINING AN AREA OF 142,649 SQUARE METERS INVOLVING PORTION OF LOT NO. 470, COVERED BY TCT NO. 1762 IN THE NAME OF PAZ R. FERIDO, COMPRISING 222,763 SQUARE METERS, LOCATED AT BARANGAY LA FILIPINA, TAGUM CITY."
"CITY ORDINANCE NO. 509, s-2011",“AN ORDINANCE REGULATING THE BIRTHING FACILITIES SITUATED WITHIN THE CITY OF TAGUM TO BE KNOWN AS THE ‘TAGUM CITY BIRTHING FACILITIES REGULATION ACT OF 2011’.”
"CITY ORDINANCE NO. 566, s-2012","“AN ORDINANCE RENAMING ODELL ELEMENTARY SCHOOL AS IGNACIO XAVIER A. TUASON ELEMENTARY SCHOOL, LOCATED AT BARANGAY MADAUM, TAGUM CITY”."
"CITY ORDINANCE NO. 559, s- 2012",AN ORDINANCE IMPOSING RATE ON THE PRODUCED ORGANIC FERTILIZER OF TAGUM CITY.
"CITY ORDINANCE NO. 559, s- 2012",AN ORDINANCE IMPOSING RATE ON THE PRODUCED ORGANIC FERTILIZER OF TAGUM CITY.
"CITY ORDINANCE NO. 564, s-2012","AN ORDINANCE RECLASSIFYING A PARCEL OF LAND INVOLVING LOT. NO. 4305-A-3-B, PSD-11-111175 EMBRACED BY TCT NO. T-142 – 2011001012 REGISTERED IN THE NAME OF ALPHA ONE ACTIVATED CARBON CORPORATION, CONTAINING AN AREA OF 1,478 SQUARE METERS AND A PARCEL OF LAND INVOLVING LOT NO. 4305-A 4, PSD – 11-029710, EMBRACED BY TCT NO. T-135312 REGISTERED continue reading : CITY ORDINANCE NO. 564, s-2012"
"CITY ORDINANCE NO. 562, 2012",“AN ORDINANCE ADOPTING THE COMPREHENSIVE TRAFFIC AND TRANSPORTATION CODE OF TAGUM CITY.”
"CITY ORDINANCE NO. 558, s-2012","AN ORDINANCE APPROVING THE NEW SCHEDULE OF MARKET VALUES, ITS CLASSIFICATION AND ASSESSMENT LEVELS OF REAL PROPERTIES IN THE CITY OF TAGUM."
"CITY ORDINANCE NO. 557, s-2012","AN ORDINANCE ESTABLISHING A ONE STOP SHOP MEDICAL, DENTAL AND LABORATORY SERVICES FOR UNDERPRIVILEGED CONSTITUENTS SPECIFICALLY for Pregnant and Lactating Mothers, Malnourished Preschoolers and School Children IN THE 23 BARANGAYS OF TAGUM CITY."
"CITY ORDINANCE NO. 556, s- 2012","AN ORDINANCE AMENDING SECTION 6 AND SECTION 16 OF THE CITY ORDINANCE NO. 162, S- 2004 OTHERWISE KNOWN AS “AN ORDINANCE CREATING THE CITY TRICYCLE FRANCHISING AND REGULATORY BOARD ( CTFRB ) PRESCRIBING ITS FUNCTIONS AND PROCEDURES AND PROVIDING MOTORIZED TRICYCLE FOR HIRE ( MTH ) GUIDELINES, REGULATIONS AND OPERATIONS, THE COLLECTION OF FEES, CHARGES, continue reading : CITY ORDINANCE NO. 556, s- 2012"
"CITY ORDINANCE NO. 563, s- 2012","AN ORDINANCE AMENDING SECTION 3 AND SECTION 4- B OF CITY ORDINANCE NO. 233, s-2006 “AN ORDINANCE PROMULGATING THE GUIDELINES FOR THE ESTABLISHMENT OF THE CITY EMPLOYEES VILLAGE TO BE KNOWN AS ‘CITY HOMES’.”"
"CITY ORDINANCE NO. 553, s-2012","AN ORDINANCE IMPLEMENTING AND ENFORCING THE PROVISIONS OF REPUBLIC ACT NO. 9208, OTHERWISE KNOWN AS THE “ANTI-TRAFFICKING IN PERSONS ACT OF 2003” AND ITS IMPLEMENTING RULES AND REGULATIONS, PRESCRIBING PENALTIES FOR CERTAIN ACTS OR OMISSIONS VIOLATIVE OF THIS ORDINANCE, AND FOR OTHER PURPOSES."
"CITY ORDINANCE NO. 542, s-2011","AN ORDINANCE RECLASSIFYING A PARCEL OF LAND INVOLVING LOT. NO. 4305-A-3-B, PSD-11-111175 AND 4305-A-4, PSD-11-029710, CONTAINING AN AREA OF 1,478 SQUARE METERS AND 20,050 SQUARE METERS, RESPECTIVELY, LOCATED AT BARANGAY CANOCOTAN, TAGUM CITY FROM COMMERCIAL TO HEAVY INDUSTRIAL ZONE."
"CITY ORDINANCE NO. 530, 2011",“AN ORDINANCE ADOPTING THE COMPREHENSIVE TRAFFIC AND TRANSPORTATION CODE OF TAGUM CITY.”
"CITY ORDINANCE NO. 546, s-2011",AN ORDINANCE REQUIRING BUSINESS ESTABLISHMENTS WITHIN THE TERRITORIAL JURISDICTION OF THE CITY OF TAGUM TO STRATEGICALLY INSTALL CLOSED CIRCUIT TELEVISION (CCTV) CAMERAS AND PROVIDING PENALTIES FOR VIOLATIONS THEREOF.
"CITY ORDINANCE NO. 538, s- 2011","“AN ORDINANCE GRANTING THE TEMPORARY CLOSURE OF PORTION OF MACARIO P. BERMUDEZ STREET, BARANGAY VISAYAN VILLAGE FOR THE CONSTRUCTION OF BIG 8 HOTEL UNDER THE FOLLOWING TERMS AND CONDITIONS.”"
"CITY ORDINANCE NO. 516, s-2011","“AN ORDINANCE APPROVING THE NEW SCHEDULE OF MARKET VALUES, ITS CLASSIFICATION AND ASSESSMENT LEVELS OF REAL PROPERTIES IN THE CITY OF TAGUM.”"
"CITY ORDINANCE NO. 523, s- 2011","AN ORDINANCE GRANTING THE RENEWAL OF FRANCHISE OF THE NEW TAGUM CITY SPORTS CENTER, INC. TO OPERATE A COCKPIT SITUATED AT PUROK 1, BARANGAY CANOCOTAN, TAGUM CITY."
"CITY ORDINANCE NO. 513, s-2011","AN ORDINANCE BANNING THE USE, SALE AND DISTRIBUTION OF THE SUGAR SUBSTITUTE SODIUM CYCLAMATE ALSO KNOWN AS “MAGIC SUGAR” AMONG FOOD AND BUSINESS ESTABLISHMENTS, FOOD VENDORS, LOCAL BUSINESS OUTLETS IN TAGUM CITY AND FOR OTHER PURPOSES."
"CITY ORDINANCE NO. 461, s-2010",AN ORDINANCE REQUIRING BUSINESS ESTABLISHMENTS WITHIN THE TERRITORIAL JURISDICTION OF THE CITY OF TAGUM TO STRATEGICALLY INSTALL CLOSED CIRCUIT TELEVISION (CCTV) CAMERAS AND PROVIDING PENALTIES FOR VIOLATIONS THEREOF.
"CITY ORDINANCE NO. 506, S – 2011",AN ORDINANCE IMPOSING RATES ON PROPAGATED FRUIT TREE SEEDLINGS GROWN IN THE NURSERY OF TAGUM CITY.
"CITY ORDINANCE NO. 515, s-2011",“AN ORDINANCE ALLOWING GAISANO MALL OF DAVAO TO CONSTRUCT AN OVERHEAD STRUCTURE AND LOWER GROUND BASEMENT TO CONNECT BUILDING 1 AND BUILDING 2 WITHIN THE PORTION OF DON RICARDO BRIZ STREET UNDER THE FOLLOWING TERMS AND CONDITIONS”
"CITY ORDINANCE NO. 514, s-2011",AN ORDINANCE GRANTING THE TEMPORARY CLOSURE OF A PORTION OF DON RICARDO BRIZ STREET FOR THE CONSTRUCTION OF GAISANO MALL OF DAVAO UNDER THE FOLLOWING TERMS AND CONDITIONS.
"CITY ORDINANCE NO. 508, s- 2011",AN ORDINANCE GRANTING SEPARATION/DISABILITY/DEATH BENEFITS TO ALL QUALIFIED BARANGAY HEALTH WORKERS (BHWs) IN TAGUM CITY.
TAX ORDINANCE NO. 11-001,“AN ORDINANCE AMENDING SECTION 227 OF TAX ORDINANCE NO. 07-001 OTHERWISE KNOWN AS THE 2007 TAX CODE OF THE CITY OF TAGUM.”
"CITY ORDINANCE NO. 497, s-2011",“AN ORDINANCE DECLARING THE SECOND WEEK OF DECEMBER OF EACH YEAR AS “LINGGO NG KABATAAN” CELEBRATION IN THE CITY OF TAGUM AND PROVIDING FUNDS THEREOF.”
"CITY ORDINANCE NO. 502, s-2011",“AN ORDINANCE ADOPTING THE REVISED GUIDELINES IN THE ESTABLISHMENT OF THE OPTIONAL AND MANDATORY AGE OF SEPARATION FOR BARANGAY HEALTH WORKERS (BHWs) AND PROVIDING FOR ITS INCENTIVES AND BENEFITS THEREOF.”
"CITY ORDINANCE NO. 488, s- 2010",“AN ORDINANCE PROVIDING POLICIES AND GUIDELINES FOR THE ESTABLISHMENT AND OPERATION OF THE TAGUM CITY BARANGAY NUTRITION SCHOLARS (BNS) AND PROVIDING FOR ITS DUTIES AND RESPONSIBILITES AND FUNDS THEREOF.”
"CITY ORDINANCE NO. 501, s- 2011","“AN ORDINANCE AMENDING CHAPTER 2, SECTION 4 AND CHAPTER 4, SECTION 9 OF THE CITY ORDINANCE NO. 307, S- 2008, AN ORDINANCE CREATING THE TAGUM CITY CONSUMER WELFARE AND PROTECTION COUNCIL.”"
"CITY ORDINANCE NO. 496, s- 2011",“AN ORDINANCE ADOPTING THE REVISED GUIDELINES IN THE ESTABLISHMENT OF THE OPTIONAL AND MANDATORY AGE OF SEPARATION FOR BARANGAY HEALTH WORKERS (BHW) AND PROVIDING FOR ITS INCENTIVES AND BENEFITS THEREOF.”
"CITY ORDINANCE NO. 482, s- 2010","“AN ORDINANCE AMENDING SECTION 24 OF THE CITY ORDINANCE NO. 223, S-2006 ‘AN ORDINANCE ADOPTING THE REVISED CODE OF ECONOMIC ENTERPRISES OF TAGUM CITY’.”"
"CITY ORDINANCE NO. 454, s-2010","“AN ORDINANCE REVISING MUNICIPAL ORDINANCE NO. 23, SERIES OF 1991, “AN ORDINANCE REGULATING THE NOISE POLLUTION GENERATED BY ALL MOTOR VEHICLES WITHIN THE MUNICIPALITY OF TAGUM AND PROVIDING PENALTIES FOR VIOLATION THEREOF.”"
"CITY ORDINANCE NO. 448, s-2010","“AN ORDINANCE AMENDING SECTION 2 (6), SECTION 4 (3) & (4) AND SECTION 9 (1) OF CITY ORDINANCE NO. 342, S-2009 “AN ORDINANCE PROVIDING REGULATIONS FOR THE OPERATION AND USE OF INTERNET CAFES/COMPUTER GAMES FOR STUDENTS DURING SCHOOL HOURS AND PROVIDING PENALTIES FOR VIOLATION THEREOF”."
"CITY ORDINANCE NO. 452, s-2010","“AN ORDINANCE FURTHER AMENDING CITY ORDINANCE NO. 139, s-2004 AN ORDINANCE AMENDING CITY ORDINANCE NO. 83, S-2003, AN ORDINANCE CREATING THE POSITION OF SENIOR CITIZENS COORDINATOR ON EACH OF THE 23 BARANGAYS IN THE CITY OF TAGUM AND PROVIDING FUNDS FOR ITS MONTHLY HONORARIA.”"
"CITY ORDINANCE NO. 447, s-2010","“AN ORDINANCE INCREASING THE MONTHLY SUBSISTENCE ALLOWANCE OF ALL QUALIFIED BARANGAY HEALTH WORKERS (BHW) IN THE CITY OF TAGUM FROM ONE THOUSAND TWO HUNDRED PESOS (P1,200.00) TO ONE THOUSAND FIVE HUNDRED PESOS (P1,500.00) AND APPROPRIATING FUNDS THEREOF.”"
TAX ORDINANCE NO. 09-003,"“AN ORDINANCE AMENDING BY SUBSTITUTION CHAPTER 4, ARTICLE A, SECTION 102 OF TAX ORDINANCE NO. 07-001 OTHERWISE KNOWN AS THE 2007 REVENUE CODE OF THE CITY OF TAGUM.”"
"CITY ORDINANCE NO. 383, s-2009",“AN ORDINANCE PROVIDING FOR A COMPREHENSIVE WELFARE CODE FOR THE CHILDREN OF THE CITY OF TAGUM AND FOR OTHER PURPOSES”
"CITY ORDINANCE NO. 370, S-2009","“AN ORDINANCE ESTABLISHING THE COMPREHENSIVE HOUSING DEVELOPMENT POLICIES AND GUIDELINES OF TAGUM CITY, OTHERWISE KNOWN AS “THE HOUSING CODE OF THE CITY OF TAGUM”"
"CITY ORDINANCE NO. 363, S- 2009","“AN ORDINANCE REGULATING THE EXERCISE OF TRADE IN ELECTRICAL INSTALLATION OR CONNECTIONS IN RESIDENTIAL BUILDINGS, COMMERCIAL AND INDUSTRIAL ESTABLISHMENTS AND OTHER STRUCTURES OR PLACES AND FOR OTHER PURPOSES.”"
TAX ORDINANCE NO. 09 – 002,"“AN ORDINANCE AMENDING THE FIRST PARAGRAPH OF LETTER (b) OF SECTION 110 UNDER CHAPTER 4, ARTICLE B OF TAX ORDINANCE NO. 07 – 001 OTHERWISE KNOWN AS THE 2007 TAX ORDINANCE OF THE CITY OF TAGUM.”"
"CITY ORDINANCE NO. 375, s-2009","An ordinance FURTHER AMENDING LETTER A OF CITY ORDINANCE NO. 303, S-2008 “aN ORDINANCE AMENDING CITY ORDINANCE NO. 175, S-2005”, “aN ORDINANCE IMPOSING RATES FOR THE SALE OF BIDDING DOCUMENTS AND OTHER FEES, FOR BIDS AND AWARDS COMMITTEE OPERATION AND OTHER DEVELOPMENT CONCERNS IN THE CITY OF TAGUM”."
"CITY ORDINANCE NO. 347, s-2009","AN ORDINANCE PROMULGATING POLICIES AND MEASURES FOR THE PREVENTION AND CONTROL OF STI/HIV/AIDS IN TAGUM CITY, CREATING THE TAGUM CITY AIDS COUNCIL AND PROVIDING PENALTIES FOR VIOLATIONS THEREOF AND FOR OTHER PURPOSES."
"CITY ORDINANCE NO. 354, s–2009","“AN ORDINANCE REQUIRING ALL DRINKING WATER SUPPLY SYSTEMS, ESTABLISHMENTS AND INSTITUTIONS THAT SUPPLY OR SERVE DRINKING WATER IN TAGUM CITY TO COMPLY WITH THE SCHEDULE SET IN THE 2007 PHILIPPINE NATIONAL STANDARDS FOR DRINKING WATER FOR MICROBIOLOGICAL, PHYSICAL AND CHEMICAL ANALYSIS.”"
"CITY ORDINANCE NO. 356, s-2009","AN ORDINANCE AMENDING SECTION 3 OF CITY ORDINANCE NO. 246, S-2007 “AN ORDINANCE ESTABLISHING THE CITY VOCATIONAL/TECHNICAL EDUCATIONAL SCHOLARSHIP PROGRAM (CIVOTESPRO) OF TAGUM CITY AND PROVIDING GUIDELINES FOR THE IMPLEMENTATION THEREOF”."
"CITY ORDINANCE NO. 355, s-2009",AN ORDINANCE GRANTING FINANCIAL AND/OR BURIAL ASSISTANCE TO EMPLOYEES OF THE CITY GOVERNMENT OF TAGUM IN CASES OF HOSPITALIZATION AND DEATH.
"CITY ORDINANCE NO. 350, s-2009",AN ORDINANCE AMENDING BY ADDITION LETTER D OF SECTION 102 AND ARTICLE A (REGULATORY FEES) OF TAX ORDINANCE NO. 07-001 OTHERWISE KNOWN AS THE 2007 REVENUE CODE OF THE CITY OF TAGUM.
"CITY ORDINANCE NO. 342, S-2009",“AN ORDINANCE PROVIDING REVISED REGULATIONS FOR THE OPERATION AND USE OF INTERNET CAFES/COMPUTER GAMES FOR STUDENTS DURING SCHOOL HOURS AND PROVIDING PENALTIES FOR VIOLATION THEREOF”.
"CITY ORDINANCE NO. 341, S-2009",AN ORDINANCE NAMING THE ROAD FROM THE APOKON NATIONAL HIGHWAY GOING TO MANGGA ELEMENTARY SCHOOL AS SUAYBAGUIO – SANTOS STREET.
"CITY ORDINANCE NO. 320, S-2008",“AN ORDINANCE IMPOSING THE REGULATION OF FARE RATES OF MOTORIZED TRICYCLE FOR HIRE (MTH) OF THE CITY OF TAGUM.”
"CITY ORDINANCE NO. 317, s-2008",AN ORDINANCE DECLARING PORTION OF MABINI ST. TAGUM CITY A ONE-WAY STREET EVERY SATURDAY FROM EIGHT O’CLOCK IN THE MORNING TO ONE O’CLOCK IN THE AFTERNOON (8:00 A.M. TO 1:00 P.M.) AND PROVIDING PENALTIES FOR VIOLATION THEREOF.
"CITY ORDINANCE NO. 302, S-2008",AN ORDINANCE DEFERRING FOR FIVE (5) YEARS THE ISSUANCE OF ACCREDITATIONS AND APPROVAL OF DEVELOPMENT PLANS TO URBAN POOR ASSOCIATIONS IN THE CITY OF TAGUM AND PROVIDING EXEMPTIONS HEREOF.
"CITY ORDINANCE NO. 303, s-2008","AN ORDINANCE AMENDING CITY ORDINANCE NO. 175, S-2005, “AN ORDINANCE IMPOSING RATES FOR THE SALE OF BIDDING DOCUMENTS AND OTHER FEES, FOR BIDS AND AWARDS COMMITTEE OPERATION AND OTHER DEVELOPMENT CONCERNS IN THE CITY OF TAGUM”."
"CITY ORDINANCE NO. 310, S-2008",“AN ORDINANCE ADOPTING THE RULES AND REGULATIONS GOVERNING ACCREDITATION OF CIVIL SOCIETY ORGANIZATIONS (CSO’s) AND PRIVATE SECTOR ORGANIZATIONS (PSO’s) IN THE CITY OF TAGUM.”
"CITY ORDINANCE NO. 306, s-2008","AN ORDINANCE DECLARING LOT NO. 6008-B, PSD-11-063145 COVERED AND EMBRACED BY TCT NO. T-250219 WITH AN AREA OF 100,336 SQUARE METERS LOCATED AT BARANGAY NEW BALAMBAN AS PROTECTED AREA IN THE CITY OF TAGUM."
"CITY ORDINANCE NO. 305, s-2008",AN ORDINANCE INCREASING THE FARE RATES OF MOTORIZED TRICYCLES FOR HIRE (MTH) FROM SEVEN PESOS (P 7.00) TO TEN PESOS (P 10.00) IN THE CITY OF TAGUM.
"CITY ORDINANCE NO. 307, s-2008",“AN ORDINANCE CREATING THE TAGUM CITY CONSUMER WELFARE AND PROTECTION COUNCIL.”
